recipe_id,ingredient_name
168,lime
168,chipotle paste
168,pinto beans
168,feta
168,flour tortilla
168,vegetable oil
168,soured cream
169,butter
169,plain chocolate
169,light muscovado sugar
169,cranberry juice
169,eggs
169,flour
169,cinnamon
169,cranberries
169,pistachios
169,sugar
170,rolled porridge oat
170,butter
170,flour
170,wholemeal flour
170,caster sugar
170,bicarbonate
170,mixed spice
170,raisin
170,sultana
170,stoned date
170,mixed peel
170,buttermilk
170,demerara sugar
171,salted butter
171,vegetable oil
171,onions
171,thyme leaves
171,flour
171,vegetable stock
171,wholegrain mustard
171,white wine vinegar
171,potatoes
171,apples
171,mature cheddar
171,flour
171,cheddar
171,cubes
171,egg
172,flour
172,fine  sea salt
172,icing sugar
172,cold  butter
172,egg yolks
172,cream
172,salted  butter
172,caster sugar
172,almonds
172,almond extract
172,eggs
172,raspberry jam
172,flaked  almonds
172,icing sugar
173,butter
173,onion
173,rashers back
173,cabbage
173,leftover roast
173,leftover roast  turnip parsnips
173,eggs
173,flour
173,white breadcrumb
173,a little water
173,sunflower
174,pumpkin
174,butter
174,eggs
174,natural yogurt
174,vanilla extract
174,strong black coffee
174,light brown soft sugar
174,self-raising flour
174,cinnamon
174,ginger
174,grating
174,pumpkin seeds
174,whipping cream
174,mascarpone
174,icing sugar
175,courgettes
175,peas
175,radishes
175,oil
175,lemon
175,natural yogurt
175,pea shoots
175,poached salmon fillets
175,mixed seeds
175,1⁄2 small bunch dill fronds
176,butter
176,caster sugar
176,eggs
176,flour
176,powder
176,milk
176,butter very soft
176,icing sugar
176,strawberry
176,hundreds
177,rapeseed oil
177,self-raising flour
177,powder
177,golden caster sugar
177,almond
177,eggs
177,natural yogurt
177,vanilla extract
177,butter
177,raspberry
177,icing sugar
178,butter
